y,Ne,Nd,Pe,Pd+,Te,Td+,Td,NVd+,NVd
5.849609375,9.980307706883301e+18,11090174437038.273,37.81445517098717,82.1605798828489,23.648495820697633,51.381783452331845,51.222645401636534,-6.763731350967007e+20,-1376450777762294.5
5.869140625,9.988768973693583e+18,11106710414705.56,37.8316212561935,82.14357562036547,23.639189973655093,51.327633912991715,51.16872716450823,-6.728413600139017e+20,-1373516040732981.8
5.888671875,9.997259545976928e+18,11123309014296.68,37.84885233122827,82.12650582256357,23.62987118588427,51.27338481780839,51.11470985698786,-6.693105894090373e+20,-1370574299678691.8
5.908203125,1.0005779609879669e+19,11139970620217.717,37.86614886259556,82.10936999236297,23.620539423775554,51.219035633937644,51.060592947858986,-6.657809917337804e+20,-1367625638481431.0
5.927734375,1.0014329353486082e+19,11156695620435.656,37.883511322252176,82.09216762886065,23.611194653585414,51.16458582386742,51.00637590133481,-6.622527308047517e+20,-1364670134832046.0
5.947265625,1.0022908966829076e+19,11173484406509.428,37.9009401876262,82.0748982271576,23.60183684143578,51.110034845362605,50.95205817697265,-6.587259662541016e+20,-1361707860585847.5
5.966796875,1.0031518641902123e+19,11190337373621.27,37.91843594164,82.05756127819193,23.592465953313468,51.055382151408686,50.8976392295862,-6.55200853734248e+20,-1358738881925930.8
5.986328125,1.0040158572676209e+19,11207254920612.447,37.935999072752125,82.04015626860983,23.583081955069584,51.000627190154816,50.84311850916327,-6.516775446819411e+20,-1355763259166931.2
6.005859375,1.0048828955122969e+19,11224237450023.6,37.9536300750221,82.0226826806827,23.573684812418872,50.94576940485579,50.788495460801016,-6.4815618562055e+20,-1352781046161436.2
6.025390625,1.0057529987241828e+19,11241285368138.518,37.97132944819006,82.00513999225261,23.56427449093908,50.89080823381314,50.73376952465662,-6.446369171733032e+20,-1349792289439839.2
6.044921875,1.006626186908662e+19,11258399085027.885,37.9890976977542,81.98752767667007,23.554850956070332,50.835743110316095,50.678940135906956,-6.411198730990107e+20,-1346797027338840.0
6.064453125,1.0075024802786748e+19,11275579014588.314,38.00693533502715,81.96984520268187,23.545414173114516,50.7805734625809,50.62400672470741,-6.376051796810786e+20,-1343795289393891.0
6.083984375,1.0083818992559997e+19,11292825574575.373,38.02484287716067,81.95209203424734,23.53596410723464,50.72529871368979,50.56896871613338,-6.340929556741334e+20,-1340787096172507.2
6.103515625,1.009264464471777e+19,11310139186630.281,38.042820847141705,81.93426763028884,23.526500723454326,50.669918281528766,50.51382553010295,-6.305833127855202e+20,-1337772459552386.0
6.123046875,1.010150196766766e+19,11327520276304.799,38.06086977377795,81.91637144441684,23.51702398665712,50.61443157872433,50.45857658128067,-6.270763564326157e+20,-1334751383243547.0
6.142578125,1.011039117192047e+19,11344969273090.338,38.078990191700406,81.89840292468716,23.507533861585987,50.55883801257908,50.403221278976,-6.2357218636762e+20,-1331723863218416.5
6.162109375,1.0119312470108525e+19,11362486610456.37,38.097182641407876,81.88036151344565,23.49803031284261,50.503136985006236,50.34775902705198,-6.20070896780307e+20,-1328689887732413.2
6.181640625,1.0128266077018608e+19,11380072725901.482,38.11544766936648,81.86224664728644,23.48851330488681,50.44732789246317,50.292189223860305,-6.165725756796737e+20,-1325649436757399.8
6.201171875,1.0137252209637513e+19,11397728061015.37,38.133785828155986,81.84405775710708,23.478982802035826,50.39141012588408,50.23651126220755,-6.130773036527337e+20,-1322602480891852.8
6.220703125,1.0146271087203443e+19,11415453061545.783,38.1521976766376,81.82579426820425,23.46943876846366,50.3353830706114,50.18072452934699,-6.095851523860026e+20,-1319548980064908.5
6.240234375,1.0155322931253414e+19,11433248177462.598,38.17068378010637,81.80745560033208,23.459881168200454,50.27924610632697,50.124828406978594,-6.060961834901926e+20,-1316488882484774.5
6.259765625,1.0164407965658112e+19,11451113863011.74,38.18924471039566,81.78904116765234,23.450309965131773,50.22299860698163,50.068822271235355,-6.026104481233699e+20,-1313422124253013.5
6.279296875,1.0173526416639599e+19,11469050576754.92,38.20788104591704,81.7705503785413,23.440725122998092,50.166639940723854,50.0127054926364,-5.991279876711247e+20,-1310348629880017.2
6.298828125,1.0182678512773505e+19,11487058781597.066,38.226593371641556,81.7519826352668,23.43112660539413,50.11016946982723,49.95647743599793,-5.956488353996056e+20,-1307268313642676.5
6.318359375,1.019186448498318e+19,11505138944807.307,38.24538227905072,81.73333733359573,23.4215143757683,50.053586550616075,49.90013746030777,-5.921730186764583e+20,-1304181081451267.0
